id,version,best_price,fuel_cleaned,car_type_cleaned,transmission_cleaned
414,Allure 100% ElÃ©ctrico 136 Sedan,59700,Electric,Compact,Automatic
415,1.6 Premium 145,52300,Gasoline,SUV,Automatic
416,ICE SELECT 4x2,59000,Gasoline,SUV,Automatic
417,Hybrid 100CV,45900,Hybrid,Compact,Automatic
418,1.2 Puretech S&S Allure 100CV,33100,Gasoline,Compact,Manual
419,Gen-e FWD 43kW,54800,Electric,SUV,Automatic
420,MHEV 1.2 75kW DDCT,39900,Hybrid,SUV,Automatic
421,N2008 Allure Hybrid 136,39900,Hybrid,SUV,Automatic
422,Sportback 30 TFSI Advanced S tronic SedÃ¡n,48200,Gasoline,Compact,Automatic
423,2.0 e-Skyactiv-G MHEV Advantage 2WD 121kW,58900,Hybrid,SUV,Manual
424,1.2 PureTech Max S&S 130,42000,Gasoline,SUV,Automatic
425,E-Tech Full Hybrid Evolution,45300,Hybrid,SUV,Automatic
426,1.6 E-Tech Techno 105kW,48900,Gasoline,SUV,Automatic
427,HEV 1.6 GDI Maxx DT SUV,50700,Hybrid,SUV,Automatic
